device_name,description
vacuum.front_hall_samsung,Veegbot voor de voorhal
vacuum.achterdekveger,Reiniger van het achterdek
todo.dagelijkse_klussen_lijst,Tracker voor dagelijkse klusjes
todo.boodschappenlijst,Organisator van boodschappen
todo.weekend_projecten,Weekend DIY-projectenlijst
todo.family_event_planner,Planner voor familie-evenementen
todo.workout_routine_tracker,Trainingsroutineplanner
todo.kids_homework_deadlines,Deadlines voor huiswerk voor kinderen
todo.huisdier_vaccinatie_schema,Vaccinatieplanner voor huisdieren
todo.auto-onderhoudslogboek,Auto-onderhoudstracker
todo.verjaardagsherinneringslijst,Herinneringslijst voor verjaardagen
todo.jubileum_planner,Planner voor jubileumevenementen
todo.vakantie_planning,Assistent vakantieplanning
todo.boek_lees_lijst,Organisator van leeslijsten
todo.film_kijklijst,Kijklijst voor filmavonden
todo.recept_verzameling,Receptenverzameling
todo.home_renovatie_planner,Planner voor renovatie van woningen
todo.tuinonderhoudsschema,Tuinonderhoudsplanner
todo.factuur_betaling_herinneringen,Betalingsherinneringen voor facturen
todo.verzekering_verlenging_alerts,Waarschuwingen voor verlenging van verzekeringen
todo.abonnementsbeheer,Hulpmiddel voor abonnementsbeheer
todo.garantie_tracker,Tracker voor het verlopen van de garantie
timer.keuken_oven,Timer voor keukenoven
timer.wasmachine_1,Wascyclustracker
timer.tuin_water geven,Tuinbesproeiingsplanner
timer.front_porch_lights,Lichttimer voor veranda
timer.achtertuin_schijnwerpers,Achtertuin schijnwerpercontroller
timer.garagedeur_1,Timer voor garagedeur
timer.slaapkamer_lamp_timer,Planner voor slaapkamerlampen
timer.eetkamer_dimmer,Timer voor eetkamerverlichting
timer.boven_gang,Timer in de gang boven
timer.beneden_kast_licht,Kasttimer beneden
timer.entree_kroonluchter,Timer voor kroonluchter in de hal
timer.terrasverlichting,Timer voor terrassfeer
timer.oprit_beveiligingslichten,Oprit beveiligingstimer
timer.kinderkamer_nachtlampje,Nachtlampje voor kinderkamer
timer.timer0,Timer voor algemeen gebruik
timer.timer7,Aangepaste timer 7
timer.mijn_timer,Gepersonaliseerde timer
timer.Keukenwekker,Aftellen van de keuken
timer.was_aftellen,Wascyclustimer
timer.ochtend_alarm,Wekalarm in de ochtend
timer.workout_timer,Timer van trainingssessie
timer.studie_sessie,Focustimer voor studeren
timer.meditatie_klok,Meditatieduur-tracker
timer.baby_nap_timer,Babydutje monitor
timer.thee_trekken,Aftellen van het trekken van thee
timer.game_timer,Bordspeltimer
timer.ochtend koffie,Timer voor het zetten van koffie in de ochtend
